year_x,doy,labels,F10.7,Sunsopts,C_Xray,M_Xray,X_Xray,S_Xray,Optical_1,Optical_2,Optical_3,doy_new,year_y,Sunspots,Optcal_1
2021,106,1,77,44,0,0,0,0,0,0,0,106,2021,44,0
2021,118,0,78,42,0,0,0,0,0,0,0,118,2021,42,0
2021,132,1,75,31,1,0,0,2,0,0,0,132,2021,31,0
2021,194,0,72,11,0,0,0,0,0,0,0,194,2021,11,0
2021,214,0,75,13,0,0,0,0,0,0,0,214,2021,13,0
2021,215,0,76,15,0,0,0,0,0,0,0,215,2021,15,0
2021,216,0,71,14,0,0,0,0,0,0,0,216,2021,14,0
2021,221,0,73,0,0,0,0,3,0,0,0,221,2021,0,0
2021,226,0,73,47,0,0,0,0,0,0,0,226,2021,47,0
2021,236,0,81,29,1,0,0,4,0,0,0,236,2021,29,0
2021,254,1,92,93,1,0,0,1,0,0,0,254,2021,93,0
2021,257,0,78,13,1,0,0,1,0,0,0,257,2021,13,0
2021,259,1,73,0,0,0,0,0,0,0,0,259,2021,0,0
2021,266,0,90,75,1,2,0,2,2,0,0,266,2021,75,2
2021,267,1,88,75,1,0,0,1,0,0,0,267,2021,75,0
2021,268,1,88,38,3,0,0,4,0,0,0,268,2021,38,0
2021,272,1,102,74,5,0,0,13,0,0,0,272,2021,74,0
2021,274,0,91,28,0,0,0,1,0,0,0,274,2021,28,0
2021,277,0,84,29,0,0,0,1,0,0,0,277,2021,29,0
2021,279,1,85,22,0,0,0,0,0,0,0,279,2021,22,0
2021,281,1,92,13,2,0,0,4,0,0,0,281,2021,13,0
2021,282,1,81,14,1,1,0,2,0,1,0,282,2021,14,0
2021,283,1,85,38,1,0,0,0,0,0,0,283,2021,38,0
2021,286,1,84,27,1,0,0,6,0,0,0,286,2021,27,0
2021,288,0,84,11,0,0,0,0,0,0,0,288,2021,11,0
2021,289,1,78,11,0,0,0,0,0,0,0,289,2021,11,0
2021,290,1,77,0,0,0,0,0,0,0,0,290,2021,0,0
2021,294,1,82,11,0,0,0,0,0,0,0,294,2021,11,0
2021,296,1,87,32,0,0,0,2,0,0,0,296,2021,32,0
2021,297,1,93,46,0,0,0,0,0,0,0,297,2021,46,0
2021,298,0,101,81,3,0,0,1,0,0,0,298,2021,81,0
2021,299,1,109,95,12,2,0,0,0,0,0,299,2021,95,0
2021,300,1,111,91,18,0,0,5,3,0,0,300,2021,91,3
2021,301,1,112,96,9,2,1,13,3,1,0,301,2021,96,3
2021,302,1,108,82,5,1,0,4,2,0,0,302,2021,82,2
2021,304,1,103,83,4,0,0,5,0,0,0,304,2021,83,0
2021,306,0,97,42,2,1,0,2,1,0,0,306,2021,42,1
2021,307,1,89,41,1,0,0,1,0,0,0,307,2021,41,0
2021,311,0,88,28,0,0,0,0,0,0,0,311,2021,28,0
2021,312,0,88,41,2,0,0,2,0,0,0,312,2021,41,0
2021,317,0,81,24,1,0,0,1,0,0,0,317,2021,24,0
2021,318,1,78,23,0,0,0,0,0,0,0,318,2021,23,0
2021,319,0,79,23,0,0,0,0,0,0,0,319,2021,23,0
2021,320,0,80,35,0,0,0,0,0,0,0,320,2021,35,0
2021,322,1,82,22,0,0,0,0,0,0,0,322,2021,22,0
2021,323,0,79,22,0,0,0,0,0,0,0,323,2021,22,0
2021,329,0,94,20,0,0,0,0,0,0,0,329,2021,20,0
2021,334,0,90,61,0,0,0,0,0,0,0,334,2021,61,0
2021,337,1,85,29,0,0,0,2,0,0,0,337,2021,29,0
2021,340,0,80,14,2,0,0,1,0,0,0,340,2021,14,0
2021,350,1,118,127,8,0,0,4,0,1,0,350,2021,127,0
2021,353,0,115,109,4,0,0,2,1,0,0,353,2021,109,1
2021,355,0,137,147,11,2,0,5,1,0,0,355,2021,147,1
2021,358,0,126,145,13,0,0,8,2,0,0,358,2021,145,2
2022,15,1,116,120,5,0,0,0,0,0,1,15,2022,120,0
2022,16,0,116,103,3,0,0,2,0,0,0,16,2022,103,0
2022,19,1,105,57,1,0,0,0,0,0,0,19,2022,57,0
2022,29,0,125,74,17,2,0,13,0,0,0,29,2022,74,0
2022,30,1,130,70,12,0,0,5,0,0,0,30,2022,70,0
2022,32,0,129,88,11,0,0,1,0,0,0,32,2022,88,0
2022,33,1,128,75,10,0,0,5,0,0,0,33,2022,75,0
2022,37,0,124,83,4,0,0,1,0,0,0,37,2022,83,0
2022,40,0,126,78,4,0,0,4,0,0,0,40,2022,78,0
2022,43,1,111,54,5,1,0,2,0,0,0,43,2022,54,0
2022,44,1,105,53,6,0,0,1,0,0,0,44,2022,53,0
2022,51,0,93,49,1,0,0,0,0,0,0,51,2022,49,0
2022,57,1,97,22,0,0,0,0,0,0,0,57,2022,22,0
2022,58,1,97,48,1,0,0,1,0,0,0,58,2022,48,0
2022,60,1,99,62,0,0,0,2,0,0,0,60,2022,62,0
2022,62,1,111,92,3,0,0,1,0,0,0,62,2022,92,0
2022,63,0,113,77,2,0,0,2,0,0,0,63,2022,77,0
2022,64,1,120,95,6,0,0,4,0,0,0,64,2022,95,0
2022,68,1,115,89,2,0,0,0,0,0,0,68,2022,89,0
2022,70,0,127,81,6,1,0,2,0,0,0,70,2022,81,0
2022,72,2,123,64,5,0,0,1,0,0,0,72,2022,64,0
2022,73,2,115,82,5,1,0,2,0,0,0,73,2022,82,0
2022,74,1,110,71,5,2,0,10,0,0,0,74,2022,71,0
2022,75,1,107,41,0,0,0,0,0,0,0,75,2022,41,0
2022,77,1,98,27,0,0,0,0,0,0,0,77,2022,27,0
2022,78,1,94,29,2,0,0,1,0,0,0,78,2022,29,0
2022,79,0,95,39,2,0,0,0,1,0,0,79,2022,39,1
2022,80,2,98,30,0,0,0,0,0,0,0,80,2022,30,0
2022,81,1,106,29,6,0,0,0,0,0,0,81,2022,29,0
2022,82,1,106,27,6,0,0,3,0,0,0,82,2022,27,0
2022,84,1,112,50,1,1,0,1,1,0,0,84,2022,50,1
2022,85,1,119,48,1,0,0,0,0,0,0,85,2022,48,0
2022,86,0,130,97,4,0,0,1,0,0,0,86,2022,97,0
2022,87,1,156,125,10,2,0,3,0,0,0,87,2022,125,0
2022,88,2,149,124,17,4,0,8,1,1,0,88,2022,124,1
2022,89,1,151,73,11,0,1,2,0,0,0,89,2022,73,0
2022,93,1,140,129,6,0,0,3,0,0,0,93,2022,129,0
2022,94,1,128,86,5,0,0,0,0,0,0,94,2022,86,0
2022,95,1,122,75,2,0,0,1,0,0,0,95,2022,75,0
2022,96,0,117,61,2,0,0,2,0,0,0,96,2022,61,0
